Site,MacroPlot,Year,Species,Scientific_Name,Count
Milagra,MBB10_Burn_Milagra,2010,BRDI,Bromus diandrus,12
Milagra,MBB10_Burn_Milagra,2010,FIGA,Filago gallica,12
Milagra,MBB10_Burn_Milagra,2010,NAPU,Nassella pulchra,12
Milagra,MBB10_Burn_Milagra,2010,PLER,Plantago erecta,12
Milagra,MBB10_Burn_Milagra,2010,AVBA,Avena barbata,10
Milagra,MBB10_Burn_Milagra,2010,BRHO,Bromus hordeaceus,9
Milagra,MBB10_Burn_Milagra,2010,ERCI,Erodium cicutarium,8
Milagra,MBB10_Burn_Milagra,2010,ANAR,Anagallis arvensis,7
Milagra,MBB10_Burn_Milagra,2010,SIGA,Silene gallica,7
Milagra,MBB10_Burn_Milagra,2010,ERLA,Eriogonum latifolium,6
