MacroPlot,Plot,Treatment,Year,Species,Status,UV1,RowCount
MBB7_Burn_Marin,7,B,2010,LUAL,L,M,2
MBB7_Burn_Marin,7,B,2010,LUAL,L,M,2
MBB7_Burn_Marin,7,B,2010,LUAL,L,M,3
MBB7_Burn_Marin,7,B,2010,LUAL,L,M,4
MBB7_Burn_Marin,7,B,2010,LUAL,L,M,3
MBB7_Control_Marin,7,C,2010,LUAL,L,M,5
MBB7_Control_Marin,7,C,2010,LUAL,L,M,3
MBB7_Control_Marin,7,C,2010,LUAL,L,M,9
MBB7_Mechanical_Marin,7,M,2010,LUAL,L,M,18
MBB7_Mechanical_Marin,7,M,2010,LUAL,L,M,1
MBB7_Mechanical_Marin,7,M,2010,LUAL,L,M,5
MBB7_Mechanical_Marin,7,M,2010,LUAL,L,M,1
MBB7_Mechanical_Marin,7,M,2010,LUAL,L,M,12
MBB8_Burn_Marin,8,B,2010,LUAL,L,M,2
MBB8_Burn_Marin,8,B,2010,LUAL,L,M,6
MBB8_Burn_Marin,8,B,2010,LUAL,L,I,2
MBB8_Burn_Marin,8,B,2010,LUAL,L,M,7
MBB8_Burn_Marin,8,B,2010,LUAL,L,M,3
MBB8_Burn_Marin,8,B,2010,LUAL,L,M,5
MBB8_Control_Marin,8,C,2010,LUAL,L,M,1
MBB8_Control_Marin,8,C,2010,LUAL,L,M,10
MBB8_Control_Marin,8,C,2010,LUAL,L,M,4
MBB8_Control_Marin,8,C,2010,LUAL,L,I,1
MBB8_Control_Marin,8,C,2010,LUAL,L,M,1
MBB8_Mechanical_Marin,8,M,2010,LUAL,L,I,1
MBB8_Mechanical_Marin,8,M,2010,LUAL,L,M,4
MBB8_Mechanical_Marin,8,M,2010,LUAL,L,M,4
MBB8_Mechanical_Marin,8,M,2010,LUAL,L,M,1
MBB9_Burn_Marin,9,B,2010,LUAL,L,M,7
MBB9_Burn_Marin,9,B,2010,LUAL,L,M,5
MBB9_Burn_Marin,9,B,2010,LUAL,L,I,1
MBB9_Burn_Marin,9,B,2010,LUAL,L,M,2
MBB9_Burn_Marin,9,B,2010,LUAL,L,M,9
MBB9_Burn_Marin,9,B,2010,LUAL,L,M,3
MBB9_Control_Marin,9,C,2010,LUAL,L,M,10
MBB9_Control_Marin,9,C,2010,LUAL,L,M,12
MBB9_Control_Marin,9,C,2010,LUAL,L,M,3
MBB9_Control_Marin,9,C,2010,LUAL,L,M,2
MBB9_Control_Marin,9,C,2010,LUAL,L,M,2
MBB9_Mechanical_Marin,9,M,2010,LUAL,L,M,2
MBB9_Mechanical_Marin,9,M,2010,LUAL,L,M,5
