MacroPlot,Site,Plot,Treatment,Year,Species,Status,UV1,Count
MBB6_Burn_Marin,Marin,MBB 06,Burn,2012,LUAL,L,M,1
MBB6_Burn_Marin,Marin,MBB 06,Burn,2012,LUAL,D,,1
MBB6_Burn_Marin,Marin,MBB 06,Burn,2012,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,D,,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,D,,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,D,,1
MBB6_Control_Marin,Marin,MBB 06,Control,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,D,,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,D,,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,D,,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,D,,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,D,,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,D,,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,D,,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2012,LUAL,L,M,1
